uid,input_tokens,output_tokens,latency_seconds
10148,483.0,218.0,3.1184935569763184
10173,351.0,221.0,2.8151674270629883
10219,134.0,7.0,1.1777544021606445
10236,212.0,191.0,2.516754627227783
10242,178.0,209.0,2.8646576404571533
10383,144.0,187.0,2.2327842712402344
10425,134.0,7.0,0.8424246311187744
10436,206.0,197.0,2.5864791870117188
10489,390.0,241.0,3.236027717590332
10494,333.0,203.0,2.875447988510132
10517,193.0,209.0,2.8219454288482666
10568,182.0,191.0,2.510413885116577
10621,335.0,182.0,2.097360134124756
10667,158.0,215.0,2.979914903640747
10693,212.0,203.0,3.07112717628479
10696,436.0,207.0,2.6889891624450684
10928,451.0,183.0,2.4256339073181152
10933,422.0,210.0,2.55207896232605
10997,368.0,219.0,3.0680091381073
11026,461.0,188.0,2.397475242614746
11033,232.0,191.0,2.496764659881592
11038,457.0,218.0,2.91892409324646
11066,461.0,193.0,2.4869089126586914
11126,203.0,218.0,2.6875014305114746
11144,472.0,227.0,3.2418253421783447
11302,470.0,216.0,2.6811325550079346
11386,208.0,192.0,2.502248525619507
11388,452.0,219.0,2.8861265182495117
11391,431.0,206.0,2.6918251514434814
11429,414.0,189.0,2.2955868244171143
11460,228.0,187.0,2.156895875930786
11482,134.0,7.0,0.8932681083679199
11483,354.0,200.0,2.5566184520721436
11535,190.0,182.0,2.3897995948791504
11577,134.0,7.0,0.8380796909332275
11637,134.0,7.0,1.3801310062408447
11654,292.0,230.0,3.612105131149292
11671,454.0,206.0,2.540050745010376
11682,166.0,208.0,2.543272018432617
11706,179.0,232.0,3.274895668029785
11721,500.0,229.0,3.308605432510376
11722,196.0,201.0,2.6389541625976562
11797,142.0,184.0,2.343134641647339
11932,470.0,188.0,2.365340232849121
11986,365.0,195.0,2.7009382247924805
12064,194.0,182.0,2.087331533432007
12078,158.0,185.0,2.188371181488037
12081,173.0,195.0,2.743845224380493
12122,234.0,217.0,2.7474589347839355
12278,189.0,176.0,2.247426748275757
12285,255.0,204.0,3.162616491317749
12352,153.0,184.0,2.098236322402954
12469,293.0,197.0,2.627385377883911
12549,165.0,183.0,2.721053123474121
12638,466.0,203.0,2.206928014755249
12643,251.0,204.0,2.954697847366333
12693,297.0,182.0,2.2034637928009033
12699,449.0,232.0,3.202167272567749
12702,272.0,186.0,2.3508379459381104
12816,425.0,213.0,2.6200039386749268
12832,401.0,218.0,2.8045194149017334
12865,369.0,231.0,2.6046395301818848
12874,183.0,190.0,2.2876157760620117
12900,345.0,223.0,2.649378538131714
12994,176.0,202.0,2.507018566131592
13006,397.0,210.0,2.7206759452819824
13039,186.0,239.0,4.107221364974976
13105,196.0,185.0,2.194732427597046
13116,153.0,185.0,2.277373790740967
13185,159.0,190.0,2.5363473892211914
13187,471.0,220.0,3.003429651260376
13272,436.0,207.0,2.506136894226074
13273,154.0,223.0,3.2532155513763428
13290,429.0,227.0,2.817018508911133
13305,219.0,174.0,2.6027421951293945
13432,469.0,200.0,2.885913372039795
13483,470.0,188.0,2.104979991912842
13526,269.0,205.0,2.6998772621154785
13595,373.0,221.0,3.3905580043792725
13609,474.0,201.0,2.6595873832702637
13643,204.0,217.0,2.4710168838500977
13675,134.0,7.0,1.0514919757843018
13689,238.0,213.0,3.110210418701172
13696,261.0,206.0,2.673297643661499
13705,218.0,207.0,2.5808629989624023
13763,382.0,187.0,2.5040299892425537
13792,309.0,224.0,3.0302631855010986
13824,298.0,181.0,2.1370456218719482
13826,176.0,192.0,2.5837156772613525
13879,143.0,203.0,2.8389079570770264
13887,228.0,215.0,2.5942142009735107
13895,157.0,192.0,2.4684767723083496
13978,248.0,202.0,2.7950875759124756
14009,217.0,215.0,2.7545244693756104
14013,152.0,186.0,2.5524303913116455
14105,246.0,225.0,2.9345602989196777
14184,407.0,183.0,2.1438140869140625
14215,134.0,7.0,0.9962646961212158
14244,358.0,225.0,2.8519062995910645
14268,238.0,212.0,2.699831247329712
14366,151.0,205.0,2.9851229190826416
14496,371.0,195.0,2.598818063735962
14499,431.0,203.0,2.5016629695892334
14532,170.0,196.0,2.472781181335449
14557,168.0,194.0,2.3400514125823975
14571,489.0,222.0,3.1897265911102295
14574,171.0,194.0,2.765406608581543
14779,192.0,185.0,2.5256261825561523
14838,204.0,221.0,3.301093578338623
14869,280.0,182.0,2.5216872692108154
14912,226.0,199.0,2.8935654163360596
14994,349.0,194.0,2.694793701171875
15026,486.0,200.0,3.1428637504577637
15077,352.0,209.0,2.9131546020507812
15081,169.0,180.0,2.2443246841430664
15111,167.0,230.0,3.164973258972168
15126,481.0,245.0,3.317072868347168
15182,443.0,212.0,3.0220444202423096
15280,402.0,193.0,2.732755422592163
15304,203.0,198.0,2.508129119873047
15403,165.0,191.0,2.3545563220977783
15433,134.0,7.0,0.8966293334960938
15451,503.0,219.0,2.889759063720703
15459,134.0,7.0,1.3436665534973145
15461,134.0,7.0,1.0908868312835693
15517,461.0,205.0,2.9155941009521484
15518,150.0,184.0,2.452592611312866
15555,211.0,150.0,2.180018663406372
15592,134.0,7.0,1.0187451839447021
15621,226.0,198.0,3.5698702335357666
15623,143.0,185.0,2.2923381328582764
15627,157.0,192.0,2.232267141342163
15643,229.0,210.0,3.0743942260742188
15704,501.0,235.0,3.789246082305908
15731,495.0,189.0,2.17093563079834
15780,173.0,199.0,5.86901593208313
15788,163.0,211.0,2.80007004737854
15791,406.0,197.0,1.993948221206665
15873,455.0,209.0,2.826800584793091
15892,321.0,203.0,2.922344207763672
15944,331.0,231.0,3.107964277267456
15958,148.0,195.0,3.1974077224731445
15994,224.0,198.0,2.2673733234405518
15995,542.0,213.0,2.609809637069702
